code;position;name;synonyms
2;1.;umelé povrchy;
3;1.1.;urbanizovaná;
4;1.1.1.;súvislá zástavba;
5;1.1.2.;nesúvislá zástavba;dedina
6;1.2.;priemysel, komercia a transport;
7;1.2.1.;priemysel alebo komercia;
8;1.2.2.;cesty a železnice s priľahlými areálmi;
9;1.2.2.1.;diaľnica;
10;1.2.2.2.;spevnená cesta prvej triedy;
11;1.2.2.3.;spevnená cesta druhej triedy;
12;1.2.2.4.;spevnená cesta tretej triedy;
13;1.2.2.5.;nespevnená cesta prvej triedy;
14;1.2.2.6.;nespevnená cesta druhej triedy;
15;1.2.2.7.;nespevnená cesta tretej triedy;
16;1.2.2.8.;železnice prvej triedy;
17;1.2.2.9.;železnice druhej triedy;
18;1.2.2.10.;železnice tretej triedy;
19;1.2.3.;areály prístavov;
20;1.2.4.;areály letísk;
21;1.2.4.1.;spevnená výbehová dráha;
22;1.2.4.2.;trávnatá výbehová dráha;
23;1.3.;areály ťažby, skládok a výstavby;
24;1.3.1.;ťažba nerastných surovín;
25;1.3.2.;skládky a smetiská;
26;1.3.2.1.;skládky tuhých odpadov;
27;1.3.2.2.;skládky kvapalných odpadov;
28;1.3.3.;areály výstavby;
29;1.4.;umelá nepoľnohospodárska zeleň;
30;1.4.1.;mestská zeleň;park
31;1.4.2.;areály športu a voľného času;
32;2.;poľnohospodárske areály;
33;2.1.;orná pôda;pole
34;2.1.1.;nezavlažovaná orná pôda;pole
35;2.1.1.1.;zelenina;
36;2.1.1.1.1.;ľuľkovité;
37;2.1.1.1.1.1.;paprika;
38;2.1.1.1.1.2.;paradajka;
39;2.1.1.1.1.3.;baklažán;
40;2.1.1.1.2.;tekvicovité;
41;2.1.1.1.2.1.;melón;
42;2.1.1.1.2.2.;uhorka;
43;2.1.1.1.2.3.;tekvica, patison, cukkini;
44;2.1.1.1.3.;strukoviny;
45;2.1.1.1.3.1.;fazuľa (zelená, suchá);
46;2.1.1.1.3.2.;hrach (zelený, suchý, kŕmny);
47;2.1.1.1.3.3.; bôb;
48;2.1.1.1.3.4.;šošovica;
49;2.1.1.1.3.5.;cícer baraní;
50;2.1.1.1.4.;koreňové a hľuzovité zeleniny (okrem zemiaka);
51;2.1.1.1.4.1.;mrkva;
52;2.1.1.1.4.2.;petržlen, paštrnák, kapusta kvaková;
53;2.1.1.1.4.3.;zeler (hľuza);
54;2.1.1.1.4.4.;chren;
55;2.1.1.1.4.5.;reďkovka (červená, čierna, biela);
56;2.1.1.1.4.6.;cvikla;
57;2.1.1.1.4.7.;kŕmna repa, kvaka;
58;2.1.1.1.4.8.;topinambur;
59;2.1.1.1.4.9.;hadomor španielsky;
60;2.1.1.1.5.;cibuľovité;
61;2.1.1.1.5.1.;cibuľa červená;
62;2.1.1.1.5.2.;cibuľa zelená;
63;2.1.1.1.5.3.;cesnak;
64;2.1.1.1.5.4.;pór;
65;2.1.1.1.5.5.;cibuľa biela a zimná;
66;2.1.1.1.6.;kapustovité;
67;2.1.1.1.6.1.;brokkoli;
68;2.1.1.1.6.2.;kel;
69;2.1.1.1.6.3.;hlávková kapusta (červená, zelená);
70;2.1.1.1.6.4.;kapusta kel;
71;2.1.1.1.6.5.;karfiol;
72;2.1.1.1.6.6.;čínsky kel;
73;2.1.1.1.6.7.;kaleráb;
74;2.1.1.1.7.;listová zelenina;
75;2.1.1.1.7.1.;ľadový šalát;
76;2.1.1.1.7.2.;endívia;
77;2.1.1.1.7.3.;špenát, šťaveľ;
78;2.1.1.1.7.4.;petržlen (list), zeler (list), kôpor;
79;2.1.1.1.7.5.;cibuľa;
80;2.1.1.1.7.6.;cigória;
81;2.1.1.1.8.;zelenina pestovaná na steblo;
82;2.1.1.1.8.1.;špargľa;
83;2.1.1.1.8.2.;artičoka zeleninová;
84;2.1.1.1.8.3.;rebarbara;
85;2.1.1.2.;rastliny ornej pôdy;
86;2.1.1.2.1.;obilniny;
87;2.1.1.2.1.1.;pšenica ozimná;
88;2.1.1.2.1.2.;jačmeň ozimný;
89;2.1.1.2.1.3.;jačmeň jarný;
90;2.1.1.2.1.4.;raž;
91;2.1.1.2.1.5.;ovos;
92;2.1.1.2.1.6.;tritikále;
93;2.1.1.2.1.7.;kukurica;
94;2.1.1.2.1.8.;kukurica na siláž;
95;2.1.1.2.1.9.;cirok;
96;2.1.1.2.1.10.;proso;
97;2.1.1.2.1.11.;pohánka;
98;2.1.1.2.1.12.;lesknica kanárska;
99;2.1.1.2.2.;cukrová repa;
100;2.1.1.2.3.;zemiaky;
101;2.1.1.2.4.;olejnaté rastliny;
102;2.1.1.2.4.1.;slnečnica (semeno);
103;2.1.1.2.4.2.;repka olejka (semeno);
104;2.1.1.2.4.3.;horčica (semeno);
105;2.1.1.2.4.4.;sója;
106;2.1.1.2.4.5.;mak (semeno);
107;2.1.1.2.4.6.;lieskový oriešok;
108;2.1.1.2.4.7.;kakao;
109;2.1.1.2.4.8.;káva;
110;2.1.1.2.4.9.;sezam (semeno);
111;2.1.1.2.4.10.;bavlna (semeno);
112;2.1.1.2.4.11.;ľan (semeno);
113;2.1.1.2.4.12.;tekvica (semeno);
114;2.1.1.2.4.13.;tekvica olejnatá;
115;2.1.1.2.4.14.;reďkovka olejnatá;
116;2.1.1.2.5.;tabak;
117;2.1.1.2.6.;krmoviny;
118;2.1.1.2.6.1.;vlčenec vikolistý;
119;2.1.1.2.6.2.;vika;
120;2.1.1.2.6.3.;vlčí bôb;
121;2.1.1.2.6.4.;ľadenec rožkatý;
122;2.1.1.2.6.5.;ďatelina (červená, biela);
123;2.1.1.2.6.6.;lucerna siata;
124;2.1.1.2.6.7.;iné ďatelinovité (napr. lucerna kosákovitá, bôľhoj lekársky);
125;2.1.1.2.6.8.;slama pšeničná, jačmenná, ražná, ovsená, tritikále;
126;2.1.1.2.6.9.;steblo a listy kukurice;
127;2.1.1.2.6.10.;steblo a slama hrachu a fazule;
